,主供油路压力,供油滤压差开关量,主供油路温度,主回油路温度,滑油箱油位,回油滤压差开关量,主回油路压力,供油泵后压力,主供油路温度,前腔回油温度,中腔回油温度,后腔回油温度,齿轮箱回油温度,前轴承腔供油量,中轴承腔供油量,后轴承腔供油量,齿轮箱供油量,主供油路流量
主供油管路漏油,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
供油泵故障,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1
供油滤堵塞,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
伺服燃油加热器燃油泄漏,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
燃滑油散热器燃油泄漏,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1
伺服燃油加热器换热效率降低,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
燃滑油散热器换热效率降低,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0
前轴承腔喷嘴堵塞,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
滑油温度传感器故障,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0
滑油压力传感器故障,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
滑油系统管接头松动,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1
滑油流量调节阀故障,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
回油滤堵塞,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
前轴承腔漏油,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
齿轮箱漏油,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0
中轴承腔漏油,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
后轴承腔漏油,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
回油泵故障,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0
回油管路泄漏,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
回油压力调节阀故障,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
回油管接头松动,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1
油气分离器损坏,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
通风管路堵塞,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1
通风控制阀故障,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1
通风管路泄漏,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1
滑油粘度变化异常,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0
滑油压力调节系统故障,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1
滑油温度过高,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0
滑油系统振动异常,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1
滑油流量异常,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0
