故障名称,故障率,故障部位,故障注入方式,故障描述
主供油管路漏油,,,流量降低5%、压力减小3% ,
供油泵故障,,,泵容积效率降低90%,
供油滤堵塞,,,回油油滤流阻增大为原来的10倍 ,
伺服燃油加热器燃油泄漏,,,出口流量增大10%、换热效率降低10%,
燃滑油散热器燃油泄漏,,,出口流量增大5%、换热效率降低10%,
伺服燃油加热器换热效率降低,,,换热系数降低15%,
燃滑油散热器换热效率降低,,,换热系数降低15%,
前轴承腔喷嘴堵塞,,,喷嘴流量系数降低20%,
滑油温度传感器故障,约每千小时0.01次,滑油温度传感器,,滑油温度传感器失效，导致温度监测不准确，可能引起滑油系统异常操作。
滑油压力传感器故障,约每千小时0.015次,滑油压力传感器,,滑油压力传感器失效，导致压力监测不准确，可能引起滑油系统异常操作和故障报警。
滑油系统管接头松动,约每千小时0.015次,滑油系统管接头,,滑油管路接头松动，导致滑油泄漏或空气进入滑油系统，影响润滑效果和系统压力。
滑油流量调节阀故障,约每千小时0.01次,滑油流量调节阀,,滑油流量调节阀卡滞或失效，导致滑油流量异常，可能引起系统润滑不足或滑油过量供给。
